id,player_id,team_id,date_started,date_left
515,6426,60,2016-07-01,2016-07-01
516,8812,68,2016-07-01,2016-07-01
517,8783,55,2016-07-01,2016-07-01
518,8067,54,2016-07-01,2016-07-01
519,8701,76,2016-07-01,2016-07-01
520,6070,68,2016-07-01,2016-07-01
521,9956,53,2016-07-01,2016-07-01
522,6984,62,2016-07-01,2016-07-01
523,8112,68,2016-07-01,2016-07-01
524,6216,48,2016-07-01,2016-07-01
525,8195,75,2016-07-01,2016-07-01
526,7096,65,2016-07-01,2016-07-01
527,7638,50,2016-07-01,2016-07-01
528,9851,72,2016-07-01,2016-07-01
529,6460,53,2016-07-01,2016-07-01
530,8068,54,2016-07-01,2016-07-01
531,6277,48,2016-07-01,2016-07-01
532,8305,79,2016-07-01,2016-07-01
533,7185,66,2016-07-01,2016-07-01
534,9929,49,2016-07-01,2016-07-01
535,8747,55,2016-07-01,2016-07-01
536,7252,66,2016-07-01,2016-07-01
537,6230,49,2016-07-01,2016-07-01
538,6477,57,2016-07-01,2016-07-01
539,8212,59,2016-07-01,2016-07-01
540,9893,65,2016-07-01,2016-07-01
541,6762,72,2016-07-01,2016-07-01
542,8655,54,2016-07-01,2016-07-01
543,7195,66,2016-07-01,2016-07-01
544,7520,63,2016-07-01,2016-07-01
545,6694,52,2016-07-01,2016-07-01
546,8871,76,2016-07-01,2016-07-01
547,7505,63,2016-07-01,2016-07-01
548,8723,69,2016-07-01,2016-07-01
549,7026,64,2016-07-01,2016-07-01
550,8732,58,2016-07-01,2016-07-01
551,9920,80,2016-07-01,2016-07-01
552,8402,59,2016-07-01,2016-07-01
553,7440,71,2016-07-01,2016-07-01
554,7007,64,2016-07-01,2016-07-01
555,7596,50,2016-07-01,2016-07-01
556,9765,48,2016-07-01,2016-07-01
557,7575,50,2016-07-01,2016-07-01
558,10055,54,2016-07-01,2016-07-01
559,6961,62,2016-07-01,2016-07-01
560,6985,62,2016-07-01,2016-07-01
561,5978,76,2016-07-01,2016-07-01
562,8469,80,2016-07-01,2016-07-01
563,6165,56,2016-07-01,2016-07-01
564,7173,65,2016-07-01,2016-07-01
565,6630,58,2016-07-01,2016-07-01
566,6071,68,2016-07-01,2016-07-01
567,8521,80,2016-07-01,2016-07-01
568,7076,64,2016-07-01,2016-07-01
569,7333,73,2016-07-01,2016-07-01
570,8807,55,2016-07-01,2016-07-01
571,9789,60,2016-07-01,2016-07-01
572,6536,53,2016-07-01,2016-07-01
573,9974,74,2016-07-01,2016-07-01
574,6478,59,2016-07-01,2016-07-01
575,6260,79,2016-07-01,2016-07-01
576,10066,50,2016-07-01,2016-07-01
577,7202,58,2016-07-01,2016-07-01
578,8756,78,2016-07-01,2016-07-01
579,7791,53,2016-07-01,2016-07-01
580,7203,61,2016-07-01,2016-07-01
581,6036,68,2016-07-01,2016-07-01
582,9993,59,2016-07-01,2016-07-01
583,10034,71,2016-07-01,2016-07-01
584,8489,80,2016-07-01,2016-07-01
585,7630,50,2016-07-01,2016-07-01
586,8422,78,2016-07-01,2016-07-01
587,7567,78,2016-07-01,2016-07-01
588,6368,70,2016-07-01,2016-07-01
589,7542,63,2016-07-01,2016-07-01
590,6806,72,2016-07-01,2016-07-01
591,7888,51,2016-07-01,2016-07-01
592,7298,73,2016-07-01,2016-07-01
593,9948,70,2016-07-01,2016-07-01
594,7464,78,2016-07-01,2016-07-01
595,7752,53,2016-07-01,2016-07-01
596,10166,55,2016-07-01,2016-07-01
597,7882,53,2016-07-01,2016-07-01
598,8156,59,2016-07-01,2016-07-01
599,8054,78,2016-07-01,2016-07-01
600,9729,76,2016-07-01,2016-07-01
601,6217,48,2016-07-01,2016-07-01
602,8369,79,2016-07-01,2016-07-01
603,6526,68,2016-07-01,2016-07-01
604,6570,58,2016-07-01,2016-07-01
605,9876,62,2016-07-01,2016-07-01
606,7991,74,2016-07-01,2016-07-01
607,8506,80,2016-07-01,2016-07-01
608,6986,75,2016-07-01,2016-07-01
609,6731,52,2016-07-01,2016-07-01
610,9885,64,2016-07-01,2016-07-01
611,7979,74,2016-07-01,2016-07-01
612,9921,80,2016-07-01,2016-07-01
613,7889,51,2016-07-01,2016-07-01
614,7181,66,2016-07-01,2016-07-01
615,10043,67,2016-07-01,2016-07-01
616,9999,75,2016-07-01,2016-07-01
617,7799,53,2016-07-01,2016-07-01
618,6037,56,2016-07-01,2016-07-01
619,6763,72,2016-07-01,2016-07-01
620,7426,49,2016-07-01,2016-07-01
621,6470,57,2016-07-01,2016-07-01
622,8145,59,2016-07-01,2016-07-01
623,8113,59,2016-07-01,2016-07-01
624,7690,60,2016-07-01,2016-07-01
625,8070,54,2016-07-01,2016-07-01
626,9922,80,2016-07-01,2016-07-01
627,9823,58,2016-07-01,2016-07-01
628,7613,50,2016-07-01,2016-07-01
629,7646,70,2016-07-01,2016-07-01
630,9582,66,2016-07-01,2016-07-01
631,6471,57,2016-07-01,2016-07-01
632,7669,70,2016-07-01,2016-07-01
633,7460,63,2016-07-01,2016-07-01
634,6537,80,2016-07-01,2016-07-01
635,9910,73,2016-07-01,2016-07-01
636,6745,75,2016-07-01,2016-07-01
637,7105,65,2016-07-01,2016-07-01
638,6709,52,2016-07-01,2016-07-01
639,7521,78,2016-07-01,2016-07-01
640,6218,50,2016-07-01,2016-07-01
641,10098,58,2016-07-01,2016-07-01
642,7935,74,2016-07-01,2016-07-01
643,10056,58,2016-07-01,2016-07-01
644,9975,74,2016-07-01,2016-07-01
645,7234,55,2016-07-01,2016-07-01
646,9741,68,2016-07-01,2016-07-01
647,7013,64,2016-07-01,2016-07-01
648,7731,55,2016-07-01,2016-07-01
649,6339,69,2016-07-01,2016-07-01
650,7254,66,2016-07-01,2016-07-01
651,7336,73,2016-07-01,2016-07-01
652,6419,60,2016-07-01,2016-07-01
653,9790,60,2016-07-01,2016-07-01
654,7324,73,2016-07-01,2016-07-01
655,9791,60,2016-07-01,2016-07-01
656,9825,58,2016-07-01,2016-07-01
657,9695,49,2016-07-01,2016-07-01
658,7873,51,2016-07-01,2016-07-01
659,7002,60,2016-07-01,2016-07-01
660,8026,71,2016-07-01,2016-07-01
661,8720,56,2016-07-01,2016-07-01
